semestre,curso,achou_util,feedback,sentimento,sentimento_predito
2021.2,Ciência da Computação,SIM,"Já fui calouro em outras ocasiões e posso dizer que me surpreendi com o formato atual da UnB. Desde o processo de matrícula - quando a SAA me auxiliou bastante na transferência de meus créditos anteriores -, até a conclusão de avaliações e projetos na plataforma do aprender3, pude perceber uma grande evolução nos processos da Universidade.

Estava um pouco cético quanto ao formato EAD, mas fui positivamente surpreendido. A evolução do moodle foi realmente visível e hoje a plataforma parece estar bastante madura, capaz de atender aos mais diversos objetivos.
As ferramentas Microsoft, como o Teams, parecem ter um grande potencial também, apesar de não terem sido tão exploradas para as aulas, com exceção de IAUC, que salvo engano, teve todos os encontros dentro daquela plataforma.

Um ponto negativo do ensino à distância é a redução do contato entre os alunos. Os laços de amizade que surgem durante a faculdade costumam ser os mais duradouros e acho que esse é um processo importante na vida das pessoas. E o formato EAD, em que pese todo o esforço positivo para atingir um grau de excelência, no quesito social parece deixar um pouco a desejar. De todo modo, entendemos a cautela que o momento requer e acredito que esse fato será devidamente compensado num futuro próximo.

Concluindo, posso dizer que minha experiência esse semestre foi bastante positiva. Consegui aproveitar bastante as aulas, pude fazer diversas revisões assistindo várias vezes as videoaulas em que tive mais dificuldade, enfim, o formato EAD também tem suas recompensas e isso me ajudou bastante.",,Negativo
2021.2,Ciência da Computação,SIM,"No geral gostei bastante do primeiro semestre, principalmente da disciplina ISC. O professor é muito bom e o conteúdo foi bem interessante. Além disso ISC também foi, na minha opinião, a matéria mais desafiadora desse semestre, principalmente devido ao projeto final. As outras matérias também foram interessantes, porém bem menos desafiadoras, mas gostei da forma que foram ministradas, todas foram bem organizadas.",,Positivo
2021.2,Ciência da Computação,SIM,"Este não foi meu primeiro semestre na UnB. Minha experiência com o ensino foi positiva, tive professores e monitores com bastante acessibilidade.",,Positivo
2021.2,Ciência da Computação,SIM,"Esse semestre apresentou muitos novos desafios para mim, visto que eu vim direto do ensino médio, então as diferenças entre o colégio e a faculdade foram algo que eu percebi desde as primeiras semanas. Apesar de ter demorado um pouco até que eu me acostumasse com o ritmo de estudos, esse primeiro semestre foi muito proveitoso e estou bastante animado para continuar o curso.",,Negativo
2021.2,Licenciatura em Computação (noturno),SIM,"Rapaz é bem complicado, no começo é um sonho depois vocÊ percebe que não é tão facil assim. Correria demais, então tive que me desdobrar para entregar tudo e algumas coisas ainda não conseguir mesmo entregar. Mas acontece, a vida é assim prioridades onde cada um tem as suas. Gostei bastante do primeiro semestre.
Dito isso agradeço a todos que me ajudaram professores monitores... enfim obrigado.",,Positivo
2021.2,Ciência da Computação,SIM,"Para mim, a experiência pode ter sido bem diferente dos colegas, pois já sou formado em Engenharia Mecânica pela UnB. Então foi um semestre bem tranquilo, com apenas 16 créditos. Imagino que será mais puxado a frente, dada a dificuldade que imagino que o curso tenha.",,Positivo
2021.2,Licenciatura em Computação (noturno),SIM,"No geral, achei bom. Mas senti falta da interação com a turma. O semestre passou e conversei com quase ninguém da turma. Entre as disciplinas a que mais tive dificuldade foi a de algoritmos. Mais especificamente por causa da prova 1.",,Negativo e Positivo
2021.2,Licenciatura em Computação (noturno),SIM,"Foi um semestre diferente, desafiador, mas não tão difícil (apesar de ter algumas dificuldades) como eu pensei que seria. As dificuldades não foram somente com o conteúdo, mas também como encaixar as tarefas nessa nova rotina de trabalhos e estudos à distância (o que é novo para mim).",,Negativo
2021.2,Ciência da Computação,SIM,"Foi bom.
 Aprendi bastante, principalmente com a matéria de ISC - que mudou bastante minha visão sobre o que é, e como funciona de fato um computador.
Fiquei ainda mais apaixonado com computação, me senti confortável com a quantidade de recursos on-line ofertados e estou amando o curso.",,Positivo
2021.2,Ciência da Computação,SIM,"Foi uma experiência bem diferente do Ensino Médio. O conteúdo é bem mais denso e complexo. Apesar disso, eu senti que todas as matérias que eu tive vão ser úteis na minha vida profissional.",,Positivo
2021.2,Ciência da Computação,SIM,"foi meu primeiro semestre num curso novo em um bom tempo, definitivamente foi um ótimo semestre embora ainda seja esquisito ter aula remota e eu sinta falta da UnB presencial. consegui acumular bastante conhecimento e gostei bastante do primeiro semestre no curso novo. espero conseguir concluir este, e trabalhar com o mesmo no futuro",,Positivo
2021.2,Ciência da Computação,SIM,"Eu passei um pouco de dificuldade, a matéria é (obviamente) bem mais difícil que no ensino medio e tudo bem mais corrido, principalmente em calculo 1(até tive que trancar calculo :(  ) , mas foi muito legal, aprendi muita coisa , tanto em APC, quanto ISC(que também passei dificuldade , mas consegui passar, além de achar uma matéria bem interessante, o que me mostrou que o computador não é uma caixa magica que executa os comandos) .",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Esse semestre foi um inicio de uma nova experiência, a transição do que vimos no ensino médio para o ensino superior, e posso dizer que foi uma troca dolorosa no começo, mas que com o passar do tempo estou me sentindo mais apto e produtivo. Estou gostando muito do curso e planejo aproveita-lo ao máximo, muito obrigado pelo apoio no começo, o que me fez persistir e não entrar em completa depressão (brincadeira).",,Negativo
2021.2,Licenciatura em Computação (noturno),SIM,"foi uma experiência divertida, entrar para a Unb sempre foi um sonho meu, ver a realização desse sonho foi incrível, estou gostando muito do curso, especialmente a parte que envolve programação sendo que a parte envolvendo circuitos lógicos e bases numéricas foi definitivamente a parte mais chata",,Negativo
2021.2,Ciência da Computação,SIM,"Gostei muito das disciplinas e dos professores. O conteúdo é o que eu esperava mesmo quando me inscrevi no curso. O fato de ser remoto foi um pouco estranho, e fez parecer que, de certa forma, ainda não entrei na UnB direito, pois ainda nem conheci os colegas direito. Mas, por outro lado, gostei do ganho de tempo por não precisar me deslocar até a universidade.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Essa é a segunda vez que eu inicio um curso na UnB, a primeira foi há alguns anos e foi bem ruim, pois eu tinha acabado de terminar o ensino médio e o choque foi gigante. Esse semestre, apesar das dificuldades e de ainda não podermos aproveitar a UnB ao máximo, foi bem mais tranquilo, pois eu estou mais preparado e com a certeza de estar fazendo algo que eu quero e gosto.",,Negativo
2021.2,Ciência da Computação,SIM,"Meu primeiro semestre foi de certa forma tranquilo, com apenas 3 materias e já sabendo Python eu consegui focar bastante em calculo e ISC, senti que foi bem dificil socializar com outros colegas de curso e o trabalho em grupo de ISC ajudou bastante isso",,Positivo
2021.2,Ciência da Computação,SIM,Essa foi minha segunda experiência como calouro na UnB pois eu mudei de curso depois de dois anos no meu curso anterior. Entretanto um pouco antes desse semestre começar surgiu uma oportunidade de estudar fora um bacharel e vim. Por isso acabei retirando as demais matérias da unb e segui só com essa. Então foi um semestre bem diferente pra mim.,,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Senti dificuldades no início pois perdi o ritmo de estudo depois do enem, então meio que fiquei uns 5 meses fazendo nada de útil, e quando começou as aulas estavam para mim acelerado, então tive que recuperar esse tempo que eu fiquei parado, no final meio que eu consegui. Sendo assim depois que recuperei o ritmo, o semestre até que foi bom.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Não foi meu primeiro semestre na UNB, eu vim de engenharias da FGA. Mas quanto a este semestre, senti algumas diferenças: Todas disciplinas já são focadas na area da computação logo no 1º semestre e algumas achei puxado para calouros (ISC). Apesar de não estar fazendo as mesmas disciplinas que os calouros, percebi isso.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Foi uma experiência muito boa, me fez aprender bastante sobre o curso e me ajudou decidir sobre atuar nessa área no futuro. Apesar de não poder usufruir de todos os espaços da UnB, por conta da pandemia, achei que os professores, monitores e tutores nos acolheram muito bem e me fez me sentir abraçado pela universidade. Com certeza não foram só flores durante o semestre kkkkkk. Percebi que as matérias exigiram bastante de mim o que fez mudar o bastante a minha rotina.",,Positivo
2021.2,Ciência da Computação,SIM,"Esse primeiro semestre achei que foi bem tranquilo, principalmente por ser modelo remoto e por não ter tantas disciplinas para cursar.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"O primeiro semestre foi bastante cansativo apesar de eu não ser totalmente calouro, as matérias foram bastante puxadas as matérias de 60h certamente demandaram mais de 60h e principalmente trabalhos levaram bastante tempo para serem feitos, gostei bastante de participar da maratona de programação, e em geral gostei bastante e espero ter conseguido boas notas.",,Negativo e Positivo
2021.2,Ciência da Computação,UM POUCO,trágico! tive de cancelar 2 disciplinas por motivos de empurrar com a barriga toda a matéria até a metade do semestre AAAaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaáaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Esse primeiro semestre na Universidade de Brasília foi, levemente chocante pelo fator da dificuldade elevada e inesperada das matérias do curso, muitas vezes nem sendo por culpa do conteúdo mas principalmente pelas avaliações ao decorrer do semestre mas importante para me adequar ao ritmo Universitário Federal",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"eu particularmente achei muito curto, as matérias ficaram densas com muita coisa em pouco tempo, apesar disso, consegui superar e ir bem em quase todas as matérias",,Negativo e Positivo
2021.2,Licenciatura em Computação (noturno),SIM,"Entrei com o pensamento de que seria parecido com o Ensino Médio, porém, está sendo completamente diferente. A atenção e disposição dos professores é muito mais aparente, tive que estudar os assuntos mais afundo para conseguir entender o conteúdo. Foi uma experiência muito boa para um primeiro semestre, ainda estou me adaptando, mas creio que irei progredir muito ainda!",,Positivo
2021.2,Ciência da Computação,SIM,"No início, como eu estava muito acostumado com a &#039;facilidade&#039; do ensino médio, senti dificuldade em acompanhar o conteúdo das matérias. Mas, com o tempo, acostumei-me com o estilo das aulas e sinto que estou totalmente adaptado ao &#039;ensino universitário&#039;.",,Positivo
2021.2,Ciência da Computação,SIM,"Essa transição de Ensino Médio para Universidade é muito brusco. Entretanto, acho que consegui aproveitar muita coisa. Por sorte, tive bons amigos que me ajudaram em várias dúvidas, mas não consegui ser o aluno exemplar que gostaria de ser. Muitas matérias tiveram notas baixas e tive que optar por desistir de una delas, pois o rendimento estava realmente muito baixo. Meu maior foco ainda é o conhecimento, mas adoraria receber uma boa avaliação considerando o tanto que aprendi e não pude reproduzir isso esse semestre. Como trabalho, moro sozinho e me sustento, foi uma experiência muito louca acredito que estarei mais adaptado para o próximo semestre.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Sinceramente achei bastante cansativo mentalmente. O conteúdo em si não foi o mais desafiador, mas o volume de trabalho e os curtos prazos de entrega para tudo são extremamente sufocantes e raramente contribuem com um aprendizado sólido. Com excessão da matéria de APC (que teve uma abordagem prática e de avaliações excelentes na minha opinião) as outras matérias deixaram uma sensação de muito trabalho feito para pouco aprendizado consolidado.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"O meu primeiro semestre no curso foi bem puxado, aconteceu um choque de realidade ao sair do ensino médio e entrar diretamente na universidade, onde você realmente precisa estudar e colocar esforço se você quiser aprender e passar nas matérias. Fora isso, o primeiro semestre foi bem proveitoso, consegui aprender bastante coisa de programação, como um computador realmente funciona e como a matemática rege o universo (essa parte foi um pouquinho exagerada, mas realmente me ajudou a compreender alguns fenômenos naturais).",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Eu já venho de outro curso em outra universidade, consegui aproveitar calculo 1 que ajudou bastante, então por já ter certa experiência com ensino superior esse semestre foi tranquilo pra mim, consegui levar todas as matérias sem muitas dificuldades, não deixei assunto acumular quase nenhuma semana.",,Negativo
2021.2,Ciência da Computação,SIM,"Está sendo uma experiência excelente, apesar do nível de cobrança das matérias, tenho me adaptado bem e pretendo continuar cada vez mais motivado",,Positivo
2021.2,Ciência da Computação,SIM,"O primeiro semestre para mim foi uma experiência bem legal apesar de ter sido a distância. Sem dúvidas, como calouro, se tivesse sido no presencial teria sido bem mais interessante mas devido as circunstâncias, tivemos que nos adaptar ao ensino remoto. Mas que não deixou a desejar a cerca dos conteúdos, em todas as disciplinas que eu cursei, deu pra sentir a diferença entre o ensino médio e o superior.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Por ter sido remoto, muito da experiência de ser calouro foi perdida, está disciplina teria tido um proveito ainda maior se fosse presencial, mas acredito que foi feito o melhor que o departamento pode dado as condições adversas, a iniciativa inclusive poderia se estender para mais cursos dentro da universidade, inclusive com palestras que englobassem não só os alunos da disciplina de Computação, mas outros departamentos.",,Negativo
2021.2,Ciência da Computação,SIM,"Apesar de não ter sido meu primeiro semestre como universitário, foi um semestre muito corrido, puxado e estressante. Acho que talvez eu não tenha me organizado direito e acabei tendo algumas dificuldades. Talvez minha principal dificuldade tenha sido o EAD. Eu prefiro o ensino presencial, eu consigo ter mais foco, consigo me dedicar mais e é algo mais dinâmico",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Já fui calouro em outras ocasiões e posso dizer que me surpreendi com o formato atual da UnB. Desde o processo de matrícula - quando a SAA me auxiliou bastante na transferência de meus créditos anteriores -, até a conclusão de avaliações e projetos na plataforma do aprender3, pude perceber uma grande evolução nos processos da Universidade.

Estava um pouco cético quanto ao formato EAD, mas fui positivamente surpreendido. A evolução do moodle foi realmente visível e hoje a plataforma parece estar bastante madura, capaz de atender aos mais diversos objetivos.
As ferramentas Microsoft, como o Teams, parecem ter um grande potencial também, apesar de não terem sido tão exploradas para as aulas, com exceção de IAUC, que salvo engano, teve todos os encontros dentro daquela plataforma.

Um ponto negativo do ensino à distância é a redução do contato entre os alunos. Os laços de amizade que surgem durante a faculdade costumam ser os mais duradouros e acho que esse é um processo importante na vida das pessoas. E o formato EAD, em que pese todo o esforço positivo para atingir um grau de excelência, no quesito social parece deixar um pouco a desejar. De todo modo, entendemos a cautela que o momento requer e acredito que esse fato será devidamente compensado num futuro próximo.

Concluindo, posso dizer que minha experiência esse semestre foi bastante positiva. Consegui aproveitar bastante as aulas, pude fazer diversas revisões assistindo várias vezes as videoaulas em que tive mais dificuldade, enfim, o formato EAD também tem suas recompensas e isso me ajudou bastante.",,Negativo
2021.2,Ciência da Computação,SIM,"No geral gostei bastante do primeiro semestre, principalmente da disciplina ISC. O professor é muito bom e o conteúdo foi bem interessante. Além disso ISC também foi, na minha opinião, a matéria mais desafiadora desse semestre, principalmente devido ao projeto final. As outras matérias também foram interessantes, porém bem menos desafiadoras, mas gostei da forma que foram ministradas, todas foram bem organizadas.",,Positivo
2021.2,Ciência da Computação,SIM,"Este não foi meu primeiro semestre na UnB. Minha experiência com o ensino foi positiva, tive professores e monitores com bastante acessibilidade.",,Positivo
2021.2,Ciência da Computação,SIM,"Esse semestre apresentou muitos novos desafios para mim, visto que eu vim direto do ensino médio, então as diferenças entre o colégio e a faculdade foram algo que eu percebi desde as primeiras semanas. Apesar de ter demorado um pouco até que eu me acostumasse com o ritmo de estudos, esse primeiro semestre foi muito proveitoso e estou bastante animado para continuar o curso.",,Negativo
2021.2,Ciência da Computação,SIM,"Para mim, a experiência pode ter sido bem diferente dos colegas, pois já sou formado em Engenharia Mecânica pela UnB. Então foi um semestre bem tranquilo, com apenas 16 créditos. Imagino que será mais puxado a frente, dada a dificuldade que imagino que o curso tenha.",,Positivo
2021.2,Ciência da Computação,SIM,"Foi bom.
 Aprendi bastante, principalmente com a matéria de ISC - que mudou bastante minha visão sobre o que é, e como funciona de fato um computador.
Fiquei ainda mais apaixonado com computação, me senti confortável com a quantidade de recursos on-line ofertados e estou amando o curso.",,Positivo
2021.2,Ciência da Computação,SIM,"Foi uma experiência bem diferente do Ensino Médio. O conteúdo é bem mais denso e complexo. Apesar disso, eu senti que todas as matérias que eu tive vão ser úteis na minha vida profissional.",,Positivo
2021.2,Ciência da Computação,SIM,"foi meu primeiro semestre num curso novo em um bom tempo, definitivamente foi um ótimo semestre embora ainda seja esquisito ter aula remota e eu sinta falta da UnB presencial. consegui acumular bastante conhecimento e gostei bastante do primeiro semestre no curso novo. espero conseguir concluir este, e trabalhar com o mesmo no futuro",,Positivo
2021.2,Ciência da Computação,SIM,"Eu passei um pouco de dificuldade, a matéria é (obviamente) bem mais difícil que no ensino medio e tudo bem mais corrido, principalmente em calculo 1(até tive que trancar calculo :(  ) , mas foi muito legal, aprendi muita coisa , tanto em APC, quanto ISC(que também passei dificuldade , mas consegui passar, além de achar uma matéria bem interessante, o que me mostrou que o computador não é uma caixa magica que executa os comandos) .",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Esse semestre foi um inicio de uma nova experiência, a transição do que vimos no ensino médio para o ensino superior, e posso dizer que foi uma troca dolorosa no começo, mas que com o passar do tempo estou me sentindo mais apto e produtivo. Estou gostando muito do curso e planejo aproveita-lo ao máximo, muito obrigado pelo apoio no começo, o que me fez persistir e não entrar em completa depressão (brincadeira).",,Negativo
2021.2,Ciência da Computação,SIM,"Gostei muito das disciplinas e dos professores. O conteúdo é o que eu esperava mesmo quando me inscrevi no curso. O fato de ser remoto foi um pouco estranho, e fez parecer que, de certa forma, ainda não entrei na UnB direito, pois ainda nem conheci os colegas direito. Mas, por outro lado, gostei do ganho de tempo por não precisar me deslocar até a universidade.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Essa é a segunda vez que eu inicio um curso na UnB, a primeira foi há alguns anos e foi bem ruim, pois eu tinha acabado de terminar o ensino médio e o choque foi gigante. Esse semestre, apesar das dificuldades e de ainda não podermos aproveitar a UnB ao máximo, foi bem mais tranquilo, pois eu estou mais preparado e com a certeza de estar fazendo algo que eu quero e gosto.",,Negativo
2021.2,Ciência da Computação,SIM,"Meu primeiro semestre foi de certa forma tranquilo, com apenas 3 materias e já sabendo Python eu consegui focar bastante em calculo e ISC, senti que foi bem dificil socializar com outros colegas de curso e o trabalho em grupo de ISC ajudou bastante isso",,Positivo
2021.2,Ciência da Computação,SIM,Essa foi minha segunda experiência como calouro na UnB pois eu mudei de curso depois de dois anos no meu curso anterior. Entretanto um pouco antes desse semestre começar surgiu uma oportunidade de estudar fora um bacharel e vim. Por isso acabei retirando as demais matérias da unb e segui só com essa. Então foi um semestre bem diferente pra mim.,,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Senti dificuldades no início pois perdi o ritmo de estudo depois do enem, então meio que fiquei uns 5 meses fazendo nada de útil, e quando começou as aulas estavam para mim acelerado, então tive que recuperar esse tempo que eu fiquei parado, no final meio que eu consegui. Sendo assim depois que recuperei o ritmo, o semestre até que foi bom.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Não foi meu primeiro semestre na UNB, eu vim de engenharias da FGA. Mas quanto a este semestre, senti algumas diferenças: Todas disciplinas já são focadas na area da computação logo no 1º semestre e algumas achei puxado para calouros (ISC). Apesar de não estar fazendo as mesmas disciplinas que os calouros, percebi isso.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Foi uma experiência muito boa, me fez aprender bastante sobre o curso e me ajudou decidir sobre atuar nessa área no futuro. Apesar de não poder usufruir de todos os espaços da UnB, por conta da pandemia, achei que os professores, monitores e tutores nos acolheram muito bem e me fez me sentir abraçado pela universidade. Com certeza não foram só flores durante o semestre kkkkkk. Percebi que as matérias exigiram bastante de mim o que fez mudar o bastante a minha rotina.",,Positivo
2021.2,Ciência da Computação,SIM,"Esse primeiro semestre achei que foi bem tranquilo, principalmente por ser modelo remoto e por não ter tantas disciplinas para cursar.",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"O primeiro semestre foi bastante cansativo apesar de eu não ser totalmente calouro, as matérias foram bastante puxadas as matérias de 60h certamente demandaram mais de 60h e principalmente trabalhos levaram bastante tempo para serem feitos, gostei bastante de participar da maratona de programação, e em geral gostei bastante e espero ter conseguido boas notas.",,Negativo e Positivo
2021.2,Ciência da Computação,UM POUCO,trágico! tive de cancelar 2 disciplinas por motivos de empurrar com a barriga toda a matéria até a metade do semestre AAAaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaáaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"Esse primeiro semestre na Universidade de Brasília foi, levemente chocante pelo fator da dificuldade elevada e inesperada das matérias do curso, muitas vezes nem sendo por culpa do conteúdo mas principalmente pelas avaliações ao decorrer do semestre mas importante para me adequar ao ritmo Universitário Federal",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"eu particularmente achei muito curto, as matérias ficaram densas com muita coisa em pouco tempo, apesar disso, consegui superar e ir bem em quase todas as matérias",,Negativo e Positivo
2021.2,Ciência da Computação,SIM,"No início, como eu estava muito acostumado com a &#039;facilidade&#039; do ensino médio, senti dificuldade em acompanhar o conteúdo das matérias. Mas, com o tempo, acostumei-me com o estilo das aulas e sinto que estou totalmente adaptado ao &#039;ensino universitário&#039;.",,Positivo
2021.2,Licenciatura em Computação (noturno),SIM,"Para ser bem sincero, ainda me sinto um pouco no escuro, mas esta disciplina deu para esclarecer muita coisa que eu tinha dúvida sobre a UnB. Esses últimos dois anos de ensino remoto têm sido difíceis para mim, e acho que isso tem afetado diretamente no meu desempenho, o que por consequência me desmotiva. Mas vamos seguindo.",,Negativo e Positivo
2021.2,Licenciatura em Computação (noturno),SIM,"Gostei muito desse semestre, apesar de estar indo muito mal nas notas. Sempre tive o sonho de cursar na UNB e agora estou cursando na minha área de trabalho. Eu sou apenado do sistema penitenciário, com todas as dificuldades de estudo e acesso a informação, mas gosto muito do ambiente universitário e mais ainda, numa das melhores universidades do Brasil e do mundo.",,Positivo
2021.2,Licenciatura em Computação (noturno),SIM,"Rapaz é bem complicado, no começo é um sonho depois vocÊ percebe que não é tão facil assim. Correria demais, então tive que me desdobrar para entregar tudo e algumas coisas ainda não conseguir mesmo entregar. Mas acontece, a vida é assim prioridades onde cada um tem as suas. Gostei bastante do primeiro semestre.
Dito isso agradeço a todos que me ajudaram professores monitores... enfim obrigado.",,Positivo
2021.2,Licenciatura em Computação (noturno),SIM,"No geral, achei bom. Mas senti falta da interação com a turma. O semestre passou e conversei com quase ninguém da turma. Entre as disciplinas a que mais tive dificuldade foi a de algoritmos. Mais especificamente por causa da prova 1.",,Negativo e Positivo
2021.2,Licenciatura em Computação (noturno),SIM,"Foi um semestre diferente, desafiador, mas não tão difícil (apesar de ter algumas dificuldades) como eu pensei que seria. As dificuldades não foram somente com o conteúdo, mas também como encaixar as tarefas nessa nova rotina de trabalhos e estudos à distância (o que é novo para mim).",,Negativo
2021.2,Licenciatura em Computação (noturno),SIM,"foi uma experiência divertida, entrar para a Unb sempre foi um sonho meu, ver a realização desse sonho foi incrível, estou gostando muito do curso, especialmente a parte que envolve programação sendo que a parte envolvendo circuitos lógicos e bases numéricas foi definitivamente a parte mais chata",,Negativo
2021.2,Licenciatura em Computação (noturno),SIM,"Entrei com o pensamento de que seria parecido com o Ensino Médio, porém, está sendo completamente diferente. A atenção e disposição dos professores é muito mais aparente, tive que estudar os assuntos mais afundo para conseguir entender o conteúdo. Foi uma experiência muito boa para um primeiro semestre, ainda estou me adaptando, mas creio que irei progredir muito ainda!",,Positivo
2022.1,Ciência da Computação,SIM,"Foi ótimo, muito gratificante poder vivenciar esse sonho... Achei relativamente tranquilo, apesar de achar cálculo 1 bastante desnecessário e APC me surpreendeu bastante como primeiro contato com a programação, é muito satisfatório conseguir resolver algum problema, mesmo que simples",,Negativo e Positivo
2022.1,Ciência da Computação,SIM,"Foi algo novo, pois o modo de ensino é diferente das escolas pública e etc.",,Negativo
2022.1,Ciência da Computação,SIM,"meu primeiro semestre foi bastante divertido, estava com saudades de aulas presenciais pois vinha de 2 anos estudando remotamente, foi difícil readaptar ao modelo presencial, e a faculdade foi mais difícil que eu esperava, mas nada que não seja capaz de superar, as matérias e os professores em geral foram bastante legais",,Negativo
2022.1,Ciência da Computação,SIM,"Superou minhas expectativas. A corpo docente é muito qualificado e as aulas agregam muito. Assim que eu ingressei, estava muito tenso, já que era um ambiente novo com uma dinâmica completamente diferente do que eu estava acostumado, mas com o tempo isso foi passando. Os colegas são muito acolhedores e os professores que eu tive são excelentes. A sensação que eu tinha de estar completamente perdido, pelo menos inicialmente, foi mitigado, inclusive, pelo IAUC.",,Negativo
